[2J[H870f81ed520b,0.55%,1.069GiB / 4GiB,125MB / 409kB
62ff5cd784ca,0.03%,164.7MiB / 5GiB,77.9kB / 81.5kB
687dcfdbd41b,0.26%,31.83MiB / 4GiB,48.6MB / 764kB
c9fca3d9fae1,0.33%,679.2MiB / 10GiB,45.4MB / 558kB
c050eff10e05,0.24%,41.84MiB / 4GiB,960kB / 48.7MB
132c931102ce,0.24%,106.2MiB / 15.42GiB,70kB / 17.9kB
f1b80b6acbdb,0.00%,47.26MiB / 15.42GiB,25kB / 25.2kB
[2J[H870f81ed520b,0.55%,1.069GiB / 4GiB,125MB / 409kB
62ff5cd784ca,0.03%,164.7MiB / 5GiB,77.9kB / 81.5kB
687dcfdbd41b,0.26%,31.83MiB / 4GiB,48.6MB / 764kB
c9fca3d9fae1,0.33%,679.2MiB / 10GiB,45.4MB / 558kB
c050eff10e05,0.24%,41.84MiB / 4GiB,960kB / 48.7MB
132c931102ce,0.24%,106.2MiB / 15.42GiB,70kB / 17.9kB
f1b80b6acbdb,0.00%,47.26MiB / 15.42GiB,25kB / 25.2kB
[2J[H870f81ed520b,188.97%,1.104GiB / 4GiB,125MB / 409kB
62ff5cd784ca,0.05%,164.7MiB / 5GiB,77.9kB / 81.5kB
687dcfdbd41b,0.06%,31.83MiB / 4GiB,48.6MB / 764kB
c9fca3d9fae1,0.01%,679.2MiB / 10GiB,45.4MB / 558kB
c050eff10e05,0.01%,41.84MiB / 4GiB,960kB / 48.7MB
132c931102ce,0.03%,106.2MiB / 15.42GiB,70kB / 17.9kB
f1b80b6acbdb,0.00%,47.26MiB / 15.42GiB,25kB / 25.2kB
[2J[H870f81ed520b,188.97%,1.104GiB / 4GiB,125MB / 409kB
62ff5cd784ca,0.05%,164.7MiB / 5GiB,77.9kB / 81.5kB
687dcfdbd41b,0.06%,31.83MiB / 4GiB,48.6MB / 764kB
c9fca3d9fae1,0.01%,679.2MiB / 10GiB,45.4MB / 558kB
c050eff10e05,0.01%,41.84MiB / 4GiB,960kB / 48.7MB
132c931102ce,0.03%,106.2MiB / 15.42GiB,70kB / 17.9kB
f1b80b6acbdb,0.00%,47.26MiB / 15.42GiB,25kB / 25.2kB
[2J[H870f81ed520b,130.03%,1008MiB / 4GiB,131MB / 443kB
62ff5cd784ca,0.05%,164.7MiB / 5GiB,77.9kB / 81.5kB
687dcfdbd41b,2.41%,31.83MiB / 4GiB,48.6MB / 765kB
c9fca3d9fae1,0.01%,679.2MiB / 10GiB,45.4MB / 558kB
c050eff10e05,2.15%,41.84MiB / 4GiB,961kB / 48.7MB
132c931102ce,0.02%,106.2MiB / 15.42GiB,70kB / 17.9kB
f1b80b6acbdb,0.00%,47.26MiB / 15.42GiB,25kB / 25.2kB
[2J[H870f81ed520b,130.03%,1008MiB / 4GiB,131MB / 443kB
62ff5cd784ca,0.05%,164.7MiB / 5GiB,77.9kB / 81.5kB
687dcfdbd41b,2.41%,31.83MiB / 4GiB,48.6MB / 765kB
c9fca3d9fae1,0.01%,679.2MiB / 10GiB,45.4MB / 558kB
c050eff10e05,2.15%,41.84MiB / 4GiB,961kB / 48.7MB
132c931102ce,0.02%,106.2MiB / 15.42GiB,70kB / 17.9kB
